Clave CT,Nombre CT,Clave Turno,Descripción Turno,Zona Escolar,Descripción Mpio.,Descripción Cat. Pob.,Longitud,Latitud,Docentes,Nivel,Modalidad
11DPR1080L,SOR JUANA INES DE LA CRUZ,1,Matutino,66,Salamanca,R Rural,-101.08419,20.67786,12,PRIMARIA,General Federal
11DPR3166E,VALENTIN GOMEZ FARIAS,1,Matutino,179,Salamanca,R Rural,-101.086111,20.810555,0,PRIMARIA,General Federal
11DPR0124L,VALENTIN GOMEZ FARIAS,1,Matutino,49,Salamanca,R Rural,-101.086857,20.596937,6,PRIMARIA,General Federal
11DPR2695O,BENITO JUAREZ,1,Matutino,175,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.087262,20.909,0,PRIMARIA,General Federal
11DPR0002A,GUADALUPE VICTORIA,1,Matutino,191,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.08732,21.05591,0,PRIMARIA,General Federal
11DPR2226W,MIGUEL HIDALGO,1,Matutino,175,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.08845,20.93406,1,PRIMARIA,General Federal
11DPR0227H,MIGUEL HIDALGO,1,Matutino,10,San Felipe,R Rural,-101.08891,21.54913,6,PRIMARIA,General Federal
11DPR3591Z,"""DIEGO RIVERA """,2,Vespertino,10,San Felipe,R Rural,-101.08891,21.54913,6,PRIMARIA,General Federal
11DPR0196E,NIÑOS HEROES,1,Matutino,10,San Felipe,R Rural,-101.089411,21.592073,6,PRIMARIA,General Federal
11DPR1791K,CINCO DE MAYO,1,Matutino,76,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.091927,21.24885,2,PRIMARIA,General Federal
11DPR0681Y,PIPILA,1,Matutino,64,Uriangato,R Rural,-101.09228,20.090954,1,PRIMARIA,General Federal
11DPR1482F,NIÑOS HEROES,1,Matutino,43,Jaral del Progreso,R Rural,-101.092717,20.377469,3,PRIMARIA,General Federal
11DPR0117B,JUSTO SIERRA,1,Matutino,83,Salamanca,R Rural,-101.0948,20.51211,3,PRIMARIA,General Federal
11DPR0518X,REVOLUCION,1,Matutino,9,Yuriria,R Rural,-101.09489,20.16846,2,PRIMARIA,General Federal
11DPR3006R,VALENTIN GOMEZ FARIAS,1,Matutino,14,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.095063,21.156821,0,PRIMARIA,General Federal
11DPR0679J,EMILIANO ZAPATA,1,Matutino,130,Uriangato,R Rural,-101.095679,20.124303,0,PRIMARIA,General Federal
11DPR0586U,URSULO GALVAN,1,Matutino,95,Yuriria,R Rural,-101.0959,20.28157,2,PRIMARIA,General Federal
11DPR2096T,GENERAL MARIANO ESCOBEDO,1,Matutino,66,Salamanca,R Rural,-101.09647,20.69454,3,PRIMARIA,General Federal
11DPR0119Z,JOSE MARIA MORELOS,1,Matutino,83,Salamanca,R Rural,-101.097151,20.473249,12,PRIMARIA,General Federal
11DPR1221U,FERNANDO MONTES DE OCA,1,Matutino,64,Uriangato,R Rural,-101.103264,20.091581,0,PRIMARIA,General Federal
11DPR2802G,BENITO JUAREZ,1,Matutino,192,San Felipe,R Rural,-101.10487,21.46289,0,PRIMARIA,General Federal
11DPR2913L,MIGUEL HIDALGO,1,Matutino,141,San Felipe,R Rural,-101.10532,21.3322,0,PRIMARIA,General Federal
11DPR2915J,IGNACIO ALLENDE Y UNZAGA,1,Matutino,191,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.10564,21.04206,0,PRIMARIA,General Federal
11DPR0214D,VICENTE GUERRERO,1,Matutino,141,San Felipe,R Rural,-101.10632,21.31986,3,PRIMARIA,General Federal
11DPR1179V,CUAUHTEMOC,1,Matutino,66,Salamanca,R Rural,-101.10722,20.68914,2,PRIMARIA,General Federal
11DPR0500Y,VALENTIN GOMEZ FARIAS,1,Matutino,95,Yuriria,R Rural,-101.10781,20.27702,6,PRIMARIA,General Federal
11DPR0434P,VASCO DE QUIROGA,1,Matutino,142,Valle de Santiago,R Rural,-101.108443,20.448958,3,PRIMARIA,General Federal
11DPR2771D,TIERRA Y LIBERTAD,1,Matutino,175,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.110877,20.940546,1,PRIMARIA,General Federal
11DPR0213E,BENITO JUAREZ,1,Matutino,10,San Felipe,R Rural,-101.11131,21.51919,2,PRIMARIA,General Federal
11DPR3678E,LEONA VICARIO,2,Vespertino,10,San Felipe,R Rural,-101.11131,21.51919,2,PRIMARIA,General Federal
11DPR0199B,JUVENTINO ROSAS CARDENAS,1,Matutino,141,San Felipe,R Rural,-101.11156,21.38899,6,PRIMARIA,General Federal
11DPR3405O,LAZARO CARDENAS DEL RIO,1,Matutino,179,Salamanca,R Rural,-101.11175,20.82992,0,PRIMARIA,General Federal
11DPR1807V,JUSTO SIERRA,1,Matutino,14,Dolores Hidalgo Cuna de la Independencia Nacional,R Rural,-101.11191,21.18921,0,PRIMARIA,General Federal
11DPR0432R,IGNACIO ZARAGOZA,1,Matutino,143,Valle de Santiago,R Rural,-101.112421,20.414328,3,PRIMARIA,General Federal
